epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.804,0.50129,2.09185,1.16447,0.59521,0.59879,0.62198,0.53192,0.50735,1.33812,1.11313,0.00333001,0.00333001,0.00333001
2,690.25,0.51914,1.29643,1.15807,0.35539,0.44258,0.34225,0.23852,1.18632,2.42145,2.07956,0.00639947,0.00639947,0.00639947
3,1002.78,0.59819,1.23438,1.21261,0.54593,0.53936,0.53042,0.41036,0.76279,1.6753,1.44357,0.00920494,0.00920494,0.00920494
4,1317.48,0.59477,1.15307,1.20964,0.67312,0.63219,0.70287,0.59414,0.55917,1.05481,1.18216,0.008812,0.008812,0.008812
5,1630.08,0.53799,1.02243,1.17159,0.72555,0.71277,0.78315,0.68208,0.48117,0.83224,1.08518,0.008416,0.008416,0.008416
6,1945.35,0.50258,0.94658,1.14889,0.76626,0.73541,0.82625,0.7333,0.42598,0.74383,1.02472,0.00802,0.00802,0.00802
7,2259.79,0.48228,0.89671,1.13417,0.80341,0.74934,0.84363,0.7586,0.3897,0.67465,0.98391,0.007624,0.007624,0.007624
8,2573.45,0.46522,0.85309,1.12265,0.82879,0.76462,0.86694,0.78541,0.36365,0.63785,0.9546,0.007228,0.007228,0.007228
9,2883.58,0.45152,0.82035,1.11358,0.83262,0.76462,0.86916,0.79386,0.35286,0.61964,0.94312,0.006832,0.006832,0.006832
10,3201.01,0.44205,0.78908,1.10892,0.83344,0.79096,0.88146,0.81009,0.34371,0.5852,0.93381,0.006436,0.006436,0.006436
11,3511.22,0.4324,0.76917,1.09873,0.84037,0.79379,0.88765,0.82023,0.32829,0.57313,0.91983,0.00604,0.00604,0.00604
12,3823.96,0.42057,0.74627,1.09138,0.82861,0.80925,0.8944,0.8258,0.32289,0.55667,0.91516,0.005644,0.005644,0.005644
13,4133.94,0.41523,0.72241,1.08895,0.85783,0.79304,0.89753,0.83365,0.31212,0.54159,0.90289,0.005248,0.005248,0.005248
14,4445.27,0.40308,0.70291,1.07962,0.85117,0.802,0.89975,0.83673,0.30614,0.53407,0.89726,0.004852,0.004852,0.004852
15,4755.91,0.39729,0.68736,1.07591,0.84733,0.80873,0.90064,0.83902,0.3039,0.53398,0.89477,0.004456,0.004456,0.004456
16,5100.11,0.28054,0.53872,1.02662,0.85933,0.80393,0.90284,0.84556,0.29037,0.52361,0.87825,0.00406,0.00406,0.00406
17,5397.52,0.26209,0.49639,1.00667,0.85324,0.81565,0.90513,0.8497,0.28293,0.51609,0.87012,0.003664,0.003664,0.003664
18,5697.22,0.24739,0.46699,0.995,0.84683,0.82232,0.90634,0.85293,0.2773,0.51047,0.86355,0.003268,0.003268,0.003268
19,5994.33,0.23551,0.43696,0.98254,0.86017,0.81564,0.90746,0.85462,0.27371,0.50627,0.85901,0.002872,0.002872,0.002872
20,6293.89,0.22351,0.40944,0.96928,0.85874,0.81987,0.90816,0.85624,0.27047,0.50214,0.85536,0.002476,0.002476,0.002476
21,6591.47,0.21283,0.37742,0.9601,0.86505,0.81984,0.90884,0.85839,0.2673,0.49847,0.85187,0.00208,0.00208,0.00208
22,6890.2,0.2043,0.35159,0.95093,0.85524,0.82875,0.90929,0.85957,0.26498,0.49554,0.84928,0.001684,0.001684,0.001684
23,7187.59,0.19271,0.32395,0.94211,0.85543,0.82829,0.90993,0.86082,0.26263,0.4931,0.84666,0.001288,0.001288,0.001288
24,7490.77,0.18226,0.29803,0.93186,0.85127,0.83166,0.91013,0.86161,0.26071,0.49125,0.8447,0.000892,0.000892,0.000892
25,7786.97,0.1734,0.27391,0.92471,0.85558,0.82843,0.91067,0.8624,0.25831,0.48983,0.84198,0.000496,0.000496,0.000496
